Priority Rank,Vertical,Niche,Data Product / Decision,Agent Job-to-be-Done,API Endpoint,HTTP Method,Request JSON,Response JSON,Update / Freshness,Student Name
90,HR & Workforce,Learning,Skill taxonomy lookup,Map job skills to standardized taxonomy,POST /v1/hr/skills/map,POST,"{""skills"":[""prompt engineering"",""agent evaluation""]}","{""mapped"":[{""input"":""prompt engineering"",""taxonomy"":""AI/Prompt Engineering""},{""input"":""agent evaluation"",""taxonomy"":""AI/Evaluation""}]}",monthly,
91,Telecom & Connectivity,Coverage,Network coverage lookup,Check coverage at location,GET /v1/telecom/coverage,GET,"{""operator"":""ExampleTel"",""location"":{""lat"":24.86,""lon"":67.01}}","{""operator"":""ExampleTel"",""coverage"":{""4g"":true,""5g"":false},""signal_dbm"":-92,""as_of"":""2026-08-17""}",daily,
92,Government & Public Data,Open Data,Government statistics lookup,Return authoritative statistics,GET /v1/gov/statistics,GET,"{""dataset"":""unemployment"",""country"":""PK"",""period"":""2026-06""}","{""value"":7.2,""unit"":""percent"",""period"":""2026-06"",""source"":""official"",""released_at"":""2026-07-20""}",monthly,
93,Media & Advertising,Audience Intelligence,Audience segment benchmark,Return audience/market benchmark,GET /v1/marketing/audience/benchmark,GET,"{""market"":""US"",""segment"":""developers"",""channel"":""linkedin""}","{""estimated_reach"":2500000,""cpm_benchmark"":38,""as_of"":""2026-08-01""}",weekly,
94,Business Intelligence,Market Research,Market size/benchmark lookup,Return curated market benchmark,POST /v1/market/benchmark,POST,"{""market"":""AI agent platforms"",""region"":""US"",""metric"":""annual_spend""}","{""metric"":""annual_spend"",""estimate"":12500000000,""range"":[9000000000,16000000000],""methodology"":""triangulated"",""as_of"":""2026-08-01""}",monthly,
95,Regulatory & Compliance,Compliance / Risk,AI Act / AI regulation applicability,Determine whether an AI use case falls under a regulation,POST /v1/compliance/ai-regulation/applicability,POST,"{""jurisdiction"":""EU"",""ai_system_type"":""customer_support"",""risk_context"":""employment""}","{""applicable"":true,""risk_category"":""high"",""obligations"":[""risk_management"",""transparency""],""effective_date"":""2026-08-01"",""confidence"":0.97,""sources"":[{""id"":""SRC-001""}]}",daily,
96,Regulatory & Compliance,Privacy,GDPR / privacy obligation lookup,Identify applicable privacy obligations for a processing activity,POST /v1/privacy/obligations,POST,"{""jurisdiction"":""EU"",""processing"":""customer_profiling"",""data_categories"":[""email"",""behavioral""]}","{""obligations"":[{""name"":""DPIA"",""required"":true},{""name"":""lawful_basis"",""required"":true}],""confidence"":0.97,""sources"":[{""id"":""SRC-001""}]}",daily,
97,Regulatory & Compliance,Vendor Risk,Vendor security/compliance status,Check whether a vendor has specified certifications,GET /v1/vendors/compliance,GET,"{""vendor"":""Acme Corp""}","{""vendor"":""Acme Corp"",""certifications"":[""SOC2_TYPE_II"",""ISO27001""],""valid_until"":""2027-03-31"",""confidence"":0.94,""sources"":[{""id"":""SRC-002""}]}",daily,
98,Regulatory & Compliance,AI Governance,AI control / policy mapping,Map an AI use case to governance controls,POST /v1/ai-governance/control-map,POST,"{""framework"":""NIST_AI_RMF"",""use_case"":""automated_credit_decision""}","{""controls"":[{""id"":""GOV-1"",""reason"":""document intended use""}],""gaps"":[""human_oversight""],""confidence"":0.95}",weekly,
99,Regulatory & Compliance,Sanctions,Sanctions screening,Check an entity against sanctions/watchlists,POST /v1/sanctions/screen,POST,"{""name"":""Example Trading LLC"",""country"":""AE"",""identifiers"":{""registration"":""12345""}}","{""match"":false,""risk_score"":0.02,""matched_lists"":[],""checked_at"":""2026-08-17T10:00:00Z""}",hourly,
100,Regulatory & Compliance,Export Control,Export-control classification,Determine whether a product/transaction needs export authorization,POST /v1/export-control/check,POST,"{""origin"":""US"",""destination"":""AE"",""product_code"":""8471.30"",""end_use"":""commercial""}","{""controlled"":false,""license_required"":false,""regimes_checked"":[""EAR""],""confidence"":0.94}",daily,
101,Regulatory & Compliance,Regulatory Change,Regulatory change detection,Detect material regulatory changes,GET /v1/regulatory/changes,GET,"{""jurisdiction"":""EU"",""topic"":""AI"",""since"":""2026-08-01""}","{""changes"":[{""id"":""CHG-1"",""title"":""New obligation"",""effective_date"":""2026-09-01"",""impact"":""high""}]}",hourly,
102,Finance & Banking,Investment Research,Company financial facts,Retrieve normalized company financial metrics,GET /v1/finance/company/metrics,GET,"{""ticker"":""AAPL"",""period"":""2026-Q2""}","{""company"":""Apple Inc."",""period"":""2026-Q2"",""revenue"":94000000000,""net_income"":25000000000,""currency"":""USD"",""source"":""filing""}",quarterly,
103,Finance & Banking,Markets,FX spot/reference rate,Retrieve current FX rate,GET /v1/finance/fx,GET,"{""base"":""USD"",""quote"":""EUR""}","{""base"":""USD"",""quote"":""EUR"",""rate"":0.92,""as_of"":""2026-08-17T10:00:00Z"",""source"":""provider""}",seconds,
104,Finance & Banking,Markets,Market news event,Detect market-moving company events,GET /v1/finance/events,GET,"{""ticker"":""AAPL"",""since"":""2026-08-17T00:00:00Z""}","{""events"":[{""type"":""earnings"",""severity"":""high"",""published_at"":""2026-08-17T09:00:00Z"",""summary"":""...""}]}",minutes,
105,Healthcare,Medical Devices,Device approval/status,Check regulatory status for a device,POST /v1/medical-device/status,POST,"{""device_name"":""Example Device"",""manufacturer"":""ExampleCo"",""country"":""US""}","{""status"":""cleared"",""classification"":""Class II"",""approval_id"":""ABC123"",""indications"":[""...""],""sources"":[{""id"":""FDA-1""}]}",daily,
106,Legal & Compliance,Contracts,Contract clause risk check,Identify risky or missing contract clauses,POST /v1/legal/contract/risk,POST,"{""contract_type"":""SaaS"",""clauses"":[""limitation_of_liability"",""indemnity"",""data_processing""]}","{""risks"":[{""clause"":""indemnity"",""severity"":""high"",""reason"":""...""}],""missing"":[""DPA""],""confidence"":0.91}",static,
107,Real Estate,Zoning,Zoning eligibility,Determine permitted use for parcel,POST /v1/realestate/zoning/check,POST,"{""address"":""123 Main St, Austin, TX"",""proposed_use"":""ADU""}","{""allowed"":true,""zoning_code"":""SF-3"",""conditions"":[""max_size_1100_sqft""],""sources"":[{""id"":""CITY-1""}]}",weekly,
108,Travel & Hospitality,Immigration,Visa requirements,Check entry/visa requirements,POST /v1/travel/visa/check,POST,"{""passport"":""PK"",""destination"":""CA"",""trip_purpose"":""tourism"",""stay_days"":14}","{""visa_required"":true,""visa_type"":""visitor"",""documents"":[""passport"",""application""],""validity_rules"":[""...""],""last_verified"":""2026-08-17""}",daily,
109,Logistics & Supply Chain,Shipping,Shipment tracking,Return current shipment state,GET /v1/logistics/shipment/status,GET,"{""tracking_number"":""ABC123""}","{""tracking_number"":""ABC123"",""status"":""in_transit"",""location"":""Dubai"",""eta"":""2026-08-19T12:00:00Z"",""last_event_at"":""2026-08-17T09:00:00Z""}",hourly,
110,Logistics & Supply Chain,Customs,Customs tariff calculation,Calculate estimated duty/tariff,POST /v1/logistics/customs/tariff,POST,"{""origin"":""CN"",""destination"":""US"",""hs_code"":""8517.62"",""customs_value"":10000}","{""duty_rate"":0.0,""estimated_duty"":0,""currency"":""USD"",""regimes"":[""MFN""],""confidence"":0.96,""sources"":[{""id"":""TARIFF-1""}]}",daily,
111,Manufacturing,Maintenance,Spare-part compatibility,Determine whether a part fits an asset,POST /v1/manufacturing/part/compatibility,POST,"{""asset_id"":""PUMP-123"",""part_number"":""PART-456""}","{""compatible"":true,""fitment"":""direct"",""constraints"":[],""confidence"":0.98,""sources"":[{""id"":""OEM-1""}]}",weekly,
112,HR & Workforce,Recruiting,Candidate/job match,Score candidate against job requirements,POST /v1/hr/match,POST,"{""candidate"":{""skills"":[""python"",""nlp""],""years_experience"":6},""job"":{""required_skills"":[""python""],""preferred_skills"":[""nlp""],""min_years"":4}}","{""match_score"":0.91,""matched"":[""python"",""nlp""],""gaps"":[],""explanation"":[""...""]}",static,
113,Procurement,Supplier Intelligence,Supplier capability lookup,Find suppliers matching requirements,POST /v1/procurement/suppliers/search,POST,"{""category"":""industrial_pumps"",""country"":""AE"",""requirements"":[""API_610"",""ISO9001""]}","{""suppliers"":[{""id"":""S1"",""name"":""ExampleCo"",""certifications"":[""ISO9001""],""match_score"":0.93}]}",weekly,
114,Procurement,Pricing,Product price benchmark,Return current market price benchmark,GET /v1/procurement/price/benchmark,GET,"{""sku"":""P-123"",""region"":""US"",""quantity"":100}","{""currency"":""USD"",""p50_unit_price"":12.5,""p25"":11.2,""p75"":14.1,""sample_size"":18,""as_of"":""2026-08-17""}",daily,
